questions,lang,keywords
"
Which river does the Brooklyn Bridge cross?
",en,"
Brooklyn Bridge, river, cross
"
"
Give me the websites of companies with more than 500000 employees.
",en,"
website, company, more than 500000, employee
"
"
What is the official website of Tom Cruise?
",en,"
Tom Cruise, official website
"
"
Give me all movies with Tom Cruise.
",en,"
Tom Cruise, movie
"
"
Who created Wikipedia?
",en,"
Wikipedia, created
"
"
How many films did Hal Roach produce?
",en,"
Hal Roach, film, produce
"
"
In which country does the Nile start?
",en,"
Nile, country, start
"
"
Which states of Germany are governed by the Social Democratic Party?
",en,"
Germany, Social Democratic Party, state, governed
"
"
How tall is Claudia Schiffer?
",en,"
Claudia Schiffer, tall
"
"
Which television shows were created by Walt Disney?
",en,"
Walt Disney, television show, created
"
"
What is the highest place of Karakoram?
",en,"
Karakoram, highest place
"
"
Give me all cities in New Jersey with more than 100000 inhabitants.
",en,"
New Jersey, city, inhabitants, more than 100000
"
"
Which actors were born in Germany?
",en,"
Germany, actor, born
"
"
Give me all actors starring in Batman Begins.
",en,"
Batman Begins, actor, starring
"
"
Give me all people with first name Jimmy.
",en,"
person, first name, Jimmy
"
"
Which mountain is the highest after the Annapurna?
",en,"
mountain, highest, after, Annapurna
"
"
How often was Michael Jordan divorced?
",en,"
Micheal Jordan, divorced
"
"
Who designed the Brooklyn Bridge?
",en,"
Brooklyn Bridge, designed
"
"
Was Natalie Portman born in the United States?
",en,"
Natalie Portman, born, United States
"
"
Which countries have more than two official languages?
",en,"
official language, country, more than two
"
"
Who created Goofy?
",en,"
created, Goofy
"
"
Give me all soccer clubs in Spain.
",en,"
Spain, soccer club
"
"
Who wrote the book The pillars of the Earth?
",en,"
wrote, book, The pillars of the Earth
"
"
Who is the mayor of New York City?
",en,"
New York City, mayor
"
"
Which organizations were founded in 1950?
",en,"
organization, founded, 1950
"
"
Which presidents were born in 1945?
",en,"
president, born, 1945
"
"
Who is the daughter of Bill Clinton married to?
",en,"
Bill Clinton, daughter, married
"
"
Through which countries does the Yenisei river flow?
",en,"
Yenisei river, flow through, country
"
"
Which museum exhibits The Scream by Munch?
",en,"
museum, exhibit, Scream, Munch
"
"
Which budget did the first movie of Zdenek Sverak have?
",en,"
Zdenek Sverak, budget, first movie
"
"
Give me the capitals of all countries in Africa.
",en,"
Africa, country, capital
"
"
Which states border Illinois?
",en,"
Illinois, state, border
"
"
Which countries have places with more than two caves?
",en,"
cave, country, place, two
"
"
Which European countries have a constitutional monarchy?
",en,"
constitutional monarchy, European country
"
"
What is the highest mountain in Australia?
",en,"
Australia, highest mountain
"
"
Which capitals in Europe were host cities of the summer olympic games?
",en,"
capital, Europe, host city, summer olympic games
"
"
Who was the wife of U.S. president Lincoln?
",en,"
United States, Lincoln, president, wife
"
"
Which airports are located in California, USA?
",en,"
United States, California, airport, located
"
"
Which classis does the Millepede belong to?
",en,"
millepede, classis, belong
"
"
Is Christian Bale starring in Batman Begins?
",en,"
Christian Bale, starring, Batman Begins
"
"
In which programming language is GIMP written?
",en,"
programming language, GIMP, written
"
"
In which country is the Limerick Lake?
",en,"
Limerick Lake, country
"
"
Which monarchs of the United Kingdom were married to a German?
",en,"
United Kingdom, monarch, married, German
"
"
Give me all female German chancellors.
",en,"
German chancellor, female
"
"
Give me all video games published by Mean Hamster Software.
",en,"
Mean Hamster Software, video game, publish
"
"
Who produced films starring Natalie Portman?
",en,"
produced, film, starring, Natalie Portman
"
"
In which films did Julia Roberts as well as Richard Gere play?
",en,"
Julia Roberts, Richard Gere, film, play
"
"
How many films did Leonardo DiCaprio star in?
",en,"
Leonardo DiCaprio, film, star
"
"
When did Finland join the EU?
",en,"
Finland, European Union, join
"
"
Give me all school types.
",en,"
school type
"
"
Give me the birthdays of all actors of the television show Charmed.
",en,"
birthday, actor, television show, Charmed
"
"
Where did Abraham Lincoln die?
",en,"
Abraham Lincoln, die
"
"
How many monarchical countries are there in Europe?
",en,"
Europe, monarchical country
"
"
Give me all presidents of the United States.
",en,"
United States, president
"
"
Who produced the most films?
",en,"
film, produced, most
"
"
Which languages are spoken in Estonia?
",en,"
Estonia, language, spoken
"
"
Is there a video game called Battle Chess?
",en,"
Battle Chess, video game, called
"
"
Which mountains are higher than the Nanga Parbat?
",en,"
Nanga Parbat, mountain, higher
"
"
When is the movie Worst Case Scenario going to be in cinemas in the Netherlands?
",en,"
Worst Case Scenario, movie, cinema, Netherlands
"
"
Is Jens Friebe a vegan?
",en,"
Jens Friebe, vegan
"
