questions,lang
Arqueólogo,es
Basquetbolista,es
Biblioteca,es
Campeón,es
Campeón en doble,es
Campeón en doble hombres,es
Campeón en doble mixto,es
Campeón en doble mujeres,es
Campeón en simple,es
Campeón en simple hombres,es
Campeón en simple mujeres,es
Cuerpo de agua,es
Deporte,es
Desierto,es
Distrito,es
Empleador,es
Instrumento,es
Isla,es
Juegos Olímpicos,es
Marca,es
Miembro de organización,es
Molinos de viento,es
Premio Nobel,es
Prueba ciclista,es
Sistema de Transporte Público,es
Vía de transporte,es
abadía,es
actividad,es
actor,es
actor porno,es
actual Campeón del mundo,es
aeropuerto,es
agencia del gobierno,es
agente,es
album,es
alga verde,es
alimento,es
altitud,es
altitud (μ),es
ancho (mm),es
ancho (μ),es
angiosperma,es
animal,es
archipiélago,es
archivo,es
aristócrata,es
arquitecto,es
arácnido,es
asteroide,es
astronauta,es
atletismo,es
automóvil,es
avión,es
año,es
año de censo,es
año de fundación,es
año del vuelo espacial,es
bacteria,es
banco,es
banda,es
barco,es
bebida,es
boxeo,es
bufete de abogados,es
canal de televisión,es
canciller,es
cantidad de medallas de bronce ganadas,es
cantidad de medallas de oro ganadas,es
cantidad de medallas de plata ganadas,es
capital,es
capítulo de serie de televisión,es
cargo público,es
carretera,es
casino,es
categoría de boxeo,es
cementerio,es
central eléctrica,es
cerebro,es
cervecería,es
cerveza,es
ciclista,es
cilindrada (cc),es
cilindrada (μ³),es
cita,es
ciudad,es
ciudad a la cabeza,es
clase (biología),es
cocinero,es
compagnie d'autobus,es
compañero de candidatura,es
compañía aerea,es
compañía discográfica,es
competición,es
condecoración,es
conocido por,es
constelación,es
continente,es
conífera,es
criminal,es
cuenca hidrográfica (km2),es
cuenca hidrográfica (m2),es
cuerpo celeste,es
descubridor,es
diputado,es
director de cine,es
director deportivo,es
dispositivo electrónico,es
dueño,es
economista,es
edificio,es
edificio religioso,es
editor,es
elección,es
embajador,es
emisora de radio,es
empresa,es
equipo de fútbol,es
es parte de,es
es parte de una estructura anatómica,es
escritor,es
escuela,es
escuela de samba,es
especies,es
estación,es
estación espacial,es
estatus,es
estilo,es
estilo de boxeo,es
estructura arquitectural,es
eucarionte,es
familia,es
fecha de baja de servicio,es
fecha de descubrimiento,es
fecha de entrada en servicio,es
fecha de fin,es
fecha de inicio,es
festival de música,es
filo,es
función de persona,es
futbolista,es
gerente de fútbol,es
grupo,es
guitarra,es
género,es
género (biología),es
helecho,es
historieta,es
hongos,es
hueso,es
huso horario,es
idioma,es
idioma original,es
iglesia,es
impuesto,es
ingeniero,es
insecto,es
institución educativa,es
intérprete,es
juego,es
juego de cartas,es
juego de mesa,es
juez,es
jugador de balonmano,es
jugador de fútbol americano,es
legislatura,es
liga de baloncesto,es
liga de bolos,es
liga de boxeo,es
liga de béisbol,es
liga de ciclismo,es
liga de cricket,es
liga de curling,es
liga de fútbol americano,es
liga de fútbol australiana,es
liga deportiva,es
logro,es
lugar,es
lugar de desembocadura,es
lugar de nacimiento,es
mamífero,es
mezquita,es
misión espacial,es
monarca,es
municipio,es
nadador,es
numero de clubs,es
numero de deportes,es
numero de deportes nuevamente añadidos,es
numero de dpruebas deportivas,es
numero de jugadores,es
numero de miembros,es
numero de profesionales,es
número de empleados,es
obra de arte,es
obra de teatro,es
obra escrita,es
orden clerical,es
ordenamiento jurídico,es
organización,es
organización geopolítica,es
organización religiosa,es
parlamento,es
partido de fútbol,es
partido político,es
patinador artístico,es
país,es
película,es
periodista,es
periodo temporal,es
persona,es
pescado,es
planeta,es
playa,es
primer dueño,es
proyecto,es
proyecto de investigación,es
pájaro,es
queso,es
realeza,es
resultados de Juegos Olímpicos,es
resultados de una competición deportiva,es
senador,es
serie de televisión,es
sigue,es
siguido de,es
sinagoga,es
tamaño de la imagen (px),es
tenista,es
territorio,es
tipo,es
tipo de avión,es
tipo de surperficie,es
tipo de surperficie(tennis,es
torero,es
tren,es
técnica,es
título,es
unidad militar,es
universidad,es
uso actual,es
uso inicial,es
usuario del avión,es
uva,es
videojuego,es
vino,es
árbitro,es
όpera,es
Caja Rural-Seguros RGA,es
Leila Alaoui,es
Tour de San Luis 2016,es
Euskadi Roja,es
Combustión,es
El dinero de Dios,es
Nuevo Mundo,es
Isabel García Tejerina,es
Fuerza Naval de Honduras,es
Consejo de Administración Fiduciaria de las Naciones Unidas,es
Instituto del Hemisferio Occidental para la Cooperación en Seguridad,es
Partido Socialista Obrero Español de la Comunidad de Madrid,es
Atentados en Sharm el-Sheij del 23 de julio de 2005,es
Organización de las Ciudades del Patrimonio Mundial,es
"Facultad de Ciencias Exactas, Ingeniería y Agrimensura (UNR)",es
Persecución de los homosexuales en la Alemania nazi,es
Grupo Intergubernamental de Expertos sobre el Cambio Climático,es
Matrimonio entre personas del mismo sexo en Nueva Escocia,es
Aeropuerto Internacional de Birmingham-Shuttlesworth,es
Corte Suprema de Justicia de la República del Perú,es
Declaración de los Derechos del Hombre y del Ciudadano,es
Club de Fútbol Tigres de la Universidad Autónoma de Nuevo León,es
Instituto Cubano del Arte e Industria Cinematográficos,es
Conferencia Europea de Administraciones de Correos y Telecomunicaciones,es
Antiguo gran parque nacional marino Bahía Australiana,es
Himno de la República Socialista Soviética de Azerbaiyán,es
Referéndum sobre la Constitución Europea en Luxemburgo,es
Catástrofe demográfica en América tras la llegada de los europeos,es
Comisión Nacional de Investigación Científica y Tecnológica,es
Federación Internacional de Sociedades de la Cruz Roja y de la Media Luna Roja,es
Citrus ichangensis x Citrus reticulata var. austera,es
Alto Comisionado de las Naciones Unidas para los Refugiados,es
Declaración de los Derechos de la Mujer y de la Ciudadana,es
Parque nacional de las Islas Atlánticas de Galicia,es
Confederación General del Trabajo de la República Argentina,es
Ley Fundamental para la República Federal de Alemania,es
Confederación General de los Trabajadores Portugueses,es
Carta de la Organización de los Estados Americanos,es
Gobierno Interino Nacional del Cáucaso Suroccidental,es
"Parque natural de las Sierras de Cazorla, Segura y Las Villas",es
Eusko Langileen Alkartasuna-Solidaridad de los Trabajadores Vascos,es
$ (desambiguación),es
Partido de los Trabajadores de España-Unidad Comunista,es
Traducción del Nuevo Mundo de las Santas Escrituras,es
'Ndrangheta,es
(10) Hygiea,es
(100) Hekate,es
(1000) Piazzia,es
(10000) Myriostos,es
(1001) Gaussia,es
(1002) Olbersia,es
(101) Helena,es
(1010) Marlene,es
(10186) Albéniz,es
(102) Miriam,es
(103) Hera,es
(1034) Mozartia,es
(104) Klymene,es
(10427) Klinkenberg,es
(105) Artemis,es
(106) Dione,es
(1068) Nofretete,es
(107) Camilla,es
(108) Hecuba,es
(109) Felicitas,es
(11) Parthenope,es
(110) Lydia,es
(1102) Pepita,es
(11061) Lagerlöf,es
(111) Ate,es
(1112) Polonia,es
(1117) Reginita,es
(112) Iphigenia,es
(113) Amalthea,es
(11335) Santiago,es
(1136) Mercedes,es
(114) Kassandra,es
(1149) Volga,es
(115) Thyra,es
(1154) Astronomia,es
(1155) Aënna,es
(1159) Granada,es
(116) Sirona,es
(117) Lomia,es
(118) Peitho,es
(1188) Gothlandia,es
(119) Althaea,es
(12) Victoria,es
(120) Lachesis,es
(1208) Troilus,es
(121) Hermione,es
(1217) Maximiliana,es
(122) Gerda,es
(123) Brunhild,es
(124) Alkeste,es
(125) Liberatrix,es
(126) Velleda,es
(127) Johanna,es
(128) Nemesis,es
(129) Antigone,es
(13) Egeria,es
(130) Elektra,es
(131) Vala,es
(132) Aethra,es
(13260) Sabadell,es
(133) Cyrene,es
(134) Sophrosyne,es
(135) Hertha,es
(13531) Weizsäcker,es
(136) Austria,es
(137) Meliboea,es
(1372) Haremari,es
(138) Tolosa,es
(139) Juewa,es
(1395) Aribeda,es
(14) Irene,es
(140) Siwa,es
(141) Lumen,es
(142) Polana,es
(143) Adria,es
(144) Vibilia,es
(145) Adeona,es
(146) Lucina,es
(147) Protogeneia,es
(148) Gallia,es
(149) Medusa,es
(1491) Balduinus,es
(14967) Madrid,es
(15) Eunomia,es
(150) Nuwa,es
(151) Abundantia,es
(15120) Mariafélix,es
(152) Atala,es
(153) Hilda,es
(154) Bertha,es
(155) Scylla,es
(156) Xanthippe,es
(1566) Icarus,es
(157) Dejanira,es
(1576) Fabiola,es
(158) Koronis,es
(159) Aemilia,es
(16) Psyche,es
(160) Una,es
(161) Athor,es
(162) Laurentia,es
(1626) Sadeya,es
(163) Erigone,es
(164) Eva,es
(1641) Tana,es
(1644) Rafita,es
(165) Loreley,es
(1652) Hergé,es
(1655) Comas Solá,es
(1658) Innes,es
(1659) Punkaharju,es
(166) Rhodope,es
(167) Urda,es
(1677) Tycho Brahe,es
(168) Sibylla,es
(169) Zelia,es
(17) Thetis,es
(170) Maria,es
(1708) Pólit,es
(171) Ophelia,es
(172) Baucis,es
(1725) CrAO,es
(173) Ino,es
(1735) ITA,es
(174) Phaedra,es
(175) Andromache,es
(176) Iduna,es
(177) Irma,es
(17744) Jodiefoster,es
(178) Belisana,es
(1789) Dobrovolsky,es
(179) Klytaemnestra,es
(1790) Volkov,es
(1791) Patsayev,es
(18) Melpomene,es
(180) Garumna,es
(181) Eucharis,es
(1814) Bach,es
(1815) Beethoven,es
(1818) Brahms,es
(182) Elsa,es
(1827) Atkinson,es
(183) Istria,es
(1836) Komarov,es
(184) Dejopeja,es
(185) Eunike,es
