questions,lang
Capitale,it
Premio Nobel,it
Premio Nobel,it
Serbatoio idrico a torre,it
Serbatoio idrico a torre,it
Torneo di Women's Tennis Association,it
abbazia,it
aereo,it
aeroporto,it
agente,it
albergo,it
album,it
allenatore,it
allenatore di football americano,it
allenatore di pallavolo,it
ambasciatore,it
anfibio,it
animale,it
anime,it
anno,it
aracnide,it
arbitro,it
archei,it
architetto,it
architetto,it
arteria,it
artista,it
assasino,it
asteroide,it
astronauta,it
atleta,it
atollo,it
attività,it
attore,it
attore porno,it
automobile,it
ballerino,it
banca,it
bandiera,it
baronetto,it
batterio,it
bevanda,it
biomolecola,it
birra,it
birrificio,it
campo da cricket,it
campo da golf,it
canale,it
canale televisivo,it
cancelliere,it
canoista,it
canottiere,it
canzone,it
cardinale,it
cartone animato,it
casa vinicola,it
casinò,it
castello,it
celebrità,it
cervello,it
chef,it
chiesa,it
chitarrista,it
città,it
codice SOIUSA,it
codice UCI,it
compagnia aerea,it
composizione di musica classica,it
composto chimico,it
congresso scientifico,it
continente,it
continente,it
corpo celeste,it
corsa ciclistica,it
costellazione,it
costumista,it
cratere,it
culturista,it
database biologico,it
delinquente,it
denominazione,it
densità (μ3),it
densità (μ3),it
densità (μ3),it
densità (μ3),it
diga,it
diga,it
discografia dell'artista,it
distanza alla capitale (μ),it
distesa d'acqua,it
documento,it
dottrina cristiana,it
ecclesiastico,it
eclissi solare,it
edificio,it
edificio religioso,it
elemento chimico,it
elezione,it
emittente,it
emittente,it
entomologo,it
enzima,it
etnia,it
etnia,it
etnia,it
evento naturale,it
fabbrica,it
felce,it
figura mitologica,it
foce (di un fiume),it
formaggio,it
fotocamera,it
fotografo,it
fumetto,it
gara ciclistica,it
genere musicale,it
ghiacciaio,it
giardino,it
ginkgo biloba,it
giocatore di atletica leggera,it
giocatore di badminton,it
giocatore di baseball,it
giocatore di beach volley,it
giocatore di football americano,it
giocatore di football australiano,it
giocatore di football canadese,it
giocatore di netball,it
giocatore di pallacanestro,it
giocatore di pallanuoto,it
giocatore di scacchi,it
giocatore di squash,it
gioco da tavolo,it
giornale accademico,it
giornalista,it
giorno festivo,it
giudice,it
gran premio,it
grande parte alpina,it
grande settore alpino,it
grotta,it
gruppo,it
gruppo alpino,it
gruppo musicale,it
identificativo dell'impianto,it
imprenditore,it
ingeniere,it
ippodromo,it
lega automobilistica,it
lega di baseball,it
lega di bowling,it
lega di football americano,it
lega di football australiano,it
lega di football canadese,it
lega di pallacanestro,it
lega di pugilato,it
libro,it
luogo abitato (insediamento),it
magnoliofita,it
malattia,it
mammifero,it
manga,it
medico,it
militare,it
minerale,it
mitologia,it
monarca,it
montagne russe,it
motocicletta,it
motore d'automobile,it
mulino,it
mulino a vento,it
mulino ad acqua,it
muschio,it
novella,it
numero di goal segnati,it
numero di squadre,it
nuotatore,it
onorificenza,it
opera,it
opera d'arte,it
opera musicale,it
ordine clericale,it
osso,it
patriarca cristiano,it
pattinatore,it
persona,it
personaggio animanga,it
pianta,it
poesia,it
poliedro,it
ponte,it
premio,it
presentatore televisivo,it
prete,it
prigione,it
programma radiofonico,it
proteina,it
pugile,it
pugile amatoriale,it
reali britannici,it
reginetta di bellezza,it
regione amministrativa,it
regno,it
ruscello,it
santuario,it
sceneggiatore,it
scenografo,it
sciatore,it
scrittore,it
scuderia formula 1,it
scultura,it
scuola,it
scuola,it
secondo pilota,it
sezione alpina,it
sostanza chimica,it
sottogruppo alpino,it
sottosezione alpina,it
squadra di baseball,it
squadra di ciclismo,it
squadra di cricket,it
squadra di football americano,it
squadra di football australiano,it
squadra di football canadese,it
squadra di pallacanestro,it
squadra di pallamano,it
stadio,it
stazione ferroviaria,it
stella,it
stile,it
storico,it
stormo,it
strumento musicale,it
struttura anatomica,it
struttura architettonica,it
supergruppo alpino,it
tempio,it
torero,it
torneo,it
torneo di golf,it
torneo di tennis,it
treno,it
truccatore,it
uccello,it
uva,it
valle,it
vescovo cristiano,it
vino,it
vino D.O.C.,it
Anni felici,it
Calcolo,it
Il capitale umano,it
Il mistero di Dante,it
Amici come noi,it
Tommaso Moro,it
