questions,keywords,lang
Liste alle Brettspiele von GMT. ,"Brettspiel ,  GMT",de
Список все настольные игры от ВРЕМЯ ПО ГРИНВИЧУ. ,"настольная игра ,  время по Гринвичу ",ru
Liste todos jogos de tabuleiro da GMT. ,"jogo de tabuleiro ,  GMT ",pt
List all boardgames by GMT.,"boardgame, GMT",en
जीएमटी द्वारा सभी बोर्ड गेम सूचीबद्ध करें।,"विशेष प्रकार के बोर्ड या पट्टे के खेल जैसे शतरंज, साँप सीढ़ी आदि, जीएमटी",hi_IN
همه بازی های تخته ای GMT را لیست کن,"  بازی تخته,    GMT",fa
Elenco tutti giochi da tavolo di GMT. ,"gioco da tavolo ,  GMT ",it
liste tout jeux de plateau par GMT. ,"jeu de plateau ,  GMT ",fr
Listă toate jocuri de masă de GMT. ,"jocuri pe ,  GMT ",ro
Lista todas juegos de mesa por GMT. ,"juego de mesa ,  GMT ",es
Lijst alle bordspellen door GMT. ,"bordspel ,  GMT ",nl
Wer entwickelt Skype? ,"entwickeln ,  Skype ",de
Кто развитая Skype? ,"развивать ,  Skype ",ru
Quem desenvolveu o Skype? ,"desenvolve ,  Skype ",pt
Who developed Skype?,"develop, Skype",en
स्काइप किसने विकसित किया?,"विकसित करना ,  स्काइप ",hi_IN
توسعه دهنده اسکایپ کیست؟,"  توسعه,    اسکایپ",fa
Chi sviluppato Skype? ,"sviluppare ,  Skype ",it
Qui développé Skype? ,"développer ,  Skype ",fr
Care dezvoltat Skype? ,"dezvolta ,  Skype ",ro
Quien desarrollado Skype? ,"desarrollar ,  Skype ",es
Wie ontwikkelde Skype? ,"ontwikkelen ,  Skype ",nl
Welche Menschen wurden geboren im Heraklion? ,"Menschen ,  geboren ,  Heraklion ",de
Который люди мы Родился в Ираклион? ,"люди ,  Родился ,  ираклион ",ru
Quais pessoas nasceram em Heraklion? ,"pessoas ,  nascermos ,  heraklion ",pt
Which people were born in Heraklion?,"people, born, heraklion",en
हेराक्लिओन में कौन से लोग पैदा हुए थे?,"लोग, उत्पन्न होने वाली, हेराक्लिओन",hi_IN
چه کسایی در هراکلیون به دنیا آمده اند؟,"  مردم,    بدنیا آمدن,    هرکلیون",fa
Quale persone erano Nato in Candia? ,"persone ,  Nato ,  heraklion ",it
Lequel gens étaient née dans Héraklion? ,"gens ,  née ,  Héraklion ",fr
Care oameni au fost născut în Heraklion? ,"oameni ,  născut ,  heraklion ",ro
Cual gente fueron nacido en Heraklion? ,"gente ,  nacido ,  heraklion ",es
Welke mensen waren geboren in Heraklion? ,"mensen ,  geboren ,  heraklion ",nl
Im welche US Zustand ist Bereich 51 gelegen? ,"Bereich 51 ,  gelegen ,  US Zustand ",de
В который У.С. государство является Площадь 51 располагается? ,"Площадь 51 ,  располагается ,  У.С. государство ",ru
Em qual estado dos EUA está localizada a Área 51? ,"Área 51 ,  localizado ,  EUA Estado ",pt
In which U.S. state is Area 51 located?,"Area 51, located, U.S. state",en
यू.एस. के किस राज्य में क्षेत्र 51 स्थित है?,"क्षेत्र 51 ,  स्थित ,  अमेरिका राज्य ",hi_IN
ناحیه ۵۱ در کدام ایالت آمریکا قرار دارد؟,"  51  ناحیه,    واقع شده,    ایالت آمریکا",fa
In quale Stati Uniti stato è La zona 51 si trova? ,"La zona 51 ,  collocato ,  Stati Uniti stato ",it
Dans lequel US Etat est Région 51 situé? ,"Région 51 ,  situé ,  US Etat ",fr
În care SUA stat este Zonă 51 situat? ,"Zonă 51 ,  situat ,  SUA stat ",ro
En cual Nosotros estado es Zona 51 ¿situado? ,"Zona 51 ,  situado ,  Nosotros estado ",es
In welke US staat is Gebied 51 gelegen? ,"Gebied 51 ,  gelegen ,  US staat ",nl
Wer ist der Bürgermeister von New York City?,"New York City, Bürgermeister",de
Кто является  мэр из новый Йорк Город? ,"новый Йорк город ,  мэр ",ru
Quem é a prefeito da cidade de Nova Iorque? ,"Novo Iorque Cidade ,  prefeito ",pt
Who is the mayor of New York City?,"New York City, mayor",en
न्यूयॉर्क शहर के महापौर कौन हैं?,"न्यूयॉर्क शहर, महापौर",hi_IN
شهردار شهر نیویورک کیست؟  ,"  شهر  نیویورک,    شهردار",fa
Chi è il sindaco della città di New York?,"città di New York, sindaco",it
Qui est le maire de New York City?,"maire, New York City",fr
Care este  primar de Nou York Oraș? ,"Nou York Oraș ,  primar ",ro
¿Quién es el alcalde de la cuidad de Nueva York?,"cuidad de Nueva York, alcalde",es
Wie is de burgemeester van New York?,"burgemeester, New York",nl
In welchen Ländern gibt es Orte mit mehr als zwei Höhlen?,"Land, Ort, Höhle, mehr als zwei",de
Который страны иметь мест с Больше чем два пещеры? ,"страна ,  место ,  пещера ,  Больше чем два ",ru
Quais países tem locais com mais de duas cavernas? ,"país ,  Lugar,  colocar ,  caverna ,  Mais do que dois ",pt
Which countries have places with more than two caves?,"country, place, cave, more than two",en
 किन देशों में दो से अधिक गुफाएं हैं?,"देश, जगह, गुफा, दो से अधिक",hi_IN
 چه کشورهایی مکان هایی با بیش از دو غار دارند؟,"  کشور,    مکان,    غار,   بیش از دو",fa
Quali nazioni hanno luoghi con più di due grotte?,"nazione, luogo, grotta, più di due",it
Quels pays ont des lieux avec plus de deux grottes?,"pays, lieux, grottes, plus de deux",fr
Care țări avea locuri cu Mai Mult decât Două peșteri? ,"țară ,  loc ,  peşteră ,  Mai Mult decât Două ",ro
¿Qué países tienen lugares con más de dos cuevas?,"país, lugar, cuevas, más de dos",es
Welke landen hebben plaatsen met meer dan twee grotten?,"land, plaatsen, grotten, meer dan twee",nl
Woher hat getan Abraham Lincoln die? ,"Abraham Lincoln ,  die ",de
где сделал Авраам Линкольн ? ,"Авраам Линкольн ,   ",ru
Onde morreu Abraão Lincoln? ,"Abraão Lincoln ,  o ",pt
Where did Abraham Lincoln die?,"Abraham Lincoln, die",en
अब्राहम लिंकन का देहांत कहा हुआ था? ,"अब्राहम लिंकन, देहांत",hi_IN
آبراهام لینکلن در کجا فوت کرد؟," آبراهام لینکلن,    ",fa
Dove fatto Abraham Lincoln il? ,"Abraham Lincoln ,  il ",it
Où fait Abraham Lincoln le? ,"Abraham Lincoln ,  la ",fr
Unde făcut Avraam Lincoln ? ,"Avraam Lincoln ,   ",ro
Dónde hizo Abrahán Lincoln el? ,"Abrahán Lincoln ,  la ",es
Waar deed Abraham Lincoln het? ,"Abraham Lincoln ,  de ",nl
Welche Flughäfen fliegt Air China an?,"Flughäfen, anfliegen, Air China",de
Который аэропорты делает Воздух Китай обслуживать? ,"аэропорты ,  Воздух Китай ",ru
Em quais aeroportos a Air China opera? ,"aeroportos ,  Ar China ",pt
Which airports does Air China serve?,"airports, Air China",en
एयर चाइना किस हवाई अड्डे पर सेवा करता है?,"हवाई अड्डों, एयर चाइना",hi_IN
 ایر چاینا را چه فرودگاه هایی ارائه می دهند؟  ,"  فرودگاه ها,    ایر چاینا",fa
Quali aeroporti sono serviti da Air China?,"aeroporti, Air China",it
Quels sont les aéroports servis par Air Chine?,"Air Chine, aéroports",fr
Ce aeroporturi deservește Air China?,"aeroporturi, Air China",ro
¿Qué aeropuertos sirve Air China?,"aeropuertos, Air China",es
Naar welke luchthavens vliegt Air China?,"luchthavens, Air China",nl
"Gib mir alle Schauspieler von Filmen, in denen William Shatner sowohl Regie geführt als auch selber mitgespielt hat.","Film, Schauspieler, Regie, mitspielen, William Shatner",de
Дайте меня все актеры в главной роли в кино направленный от а также в главной роли Уильям Шатнер. ,"актер ,  в главной роли ,  кино ,  непосредственный ,  в главной роли ,  Уильям Шатнер ",ru
Liste para mim todos os atores estrelando em filmes dirigidos ou com a participação de William Shatner ,"ator ,  estrelando ,  filme ,  direto ,  estrelando ,  William Shatner ",pt
Give me all actors starring in movies directed by and starring William Shatner.,"actor, starring, movie, direct, starring, William Shatner",en
